000-01 	Capcom 	Steel Battalion Behemoth 	XBOX 	 	 	 	 
000-02 	HORI 	Flight Stick 2 	PS2 	 	 	 	 
000-03A 	Novint 	Falcon 	PC 	 	 	 	 
000-03B 	Novint 	Pistol Grip 	PC 	 	 	 	 
000-04 	Sega 	Twin Sticks 	Saturn 	 	 	 	 
000-05 	HORI 	Ace-Edge Flight Stick 	360 	 	 	 	 
000-06 	Pelican 	Silent Scope Light Rifle 	XBOX 	 	 	 	 
000-07 	Namco Bandai 	GunCon 2 	PS2 	 	 	 	 
000-08 	RedOctane 	Reload Pedal 	PS2 	 	 	 	 
000-09 	Nintendo 	NES GBA SP 	GBA 	 	 	 	 
000-10 	Tapwave 	Zodiac² 	Zodiac 	 	 	 	 
000-11 	NubyTech 	Resident Evil 4 Chainsaw 	PS2 	 	 	 	 
000-12 	HORI 	Onimusha 3: Soul Katana 	PS2 	 	 	 	 
000-13 	Nintendo 	Virtual Boy 	Virtual Boy 	 	 	 	 
000-14-A 	Sony 	PocketStation (White) 	PS1 	 	 	 	 
000-14-B 	Sony 	PocketStation (Crystal) 	PS1 	 	November 22, 2017 	 	 
000-15 	Sega 	VMU 	DC 	 	 	 	 
000-16A 	Nintendo 	Pocket Pikachu 	GBC 	 	 	 	 
000-16B 	Nintendo 	Pocket Sakura 	GBC 	 	 	 	 
000-17 	HORI 	Digital Controller 	GCN 	 	 	 	 
000-18 	DragonPlus 	one 	PS1/PS2 	 	 	 	 
000-19 	Sega 	NiGHTS 	Saturn 	 	 	 	 
000-20 	Zalman 	FPS mouse 	PC 	 	 	 	 
000-21 	NubyTech 	Chun Li Street Fighter Collectors Edition 	PS2 	 	 	 	 
000-22 	Nintendo 	VRS 	N64 	 	 	 	 
001-A 	Nintendo 	Zapper 	NES 	 	 	 	 
001-B 	QuickShot 	Zapper Scope 	NES 	 	March 11, 2013 	 	 
002 	Nintendo 	Super Scope 6 	SNES 	 	 	 	 
003 	Nintendo 	Mario Paint Mouse 	SNES 	 	 	 	 
00X-01 	Sony 	Chotto Shot 	PSP 	 	November 27, 2006 	 	 
00X-02 	HORI 	Tiny Bee 	PS2 	 	December 20, 2006 	 	 
00X-03-A 	HORI 	Dragon Quest Slime (Blue) 	PS2 	 	January 8, 2007 	 	 
00X-03-B 	HORI 	Dragon Quest Slime (Blue)Metal 	PS1/PS2 	 	November 22, 2017 	 	 
00X-04 	Sony 	Analog Flight Stick SCPH-1100 	PS1 	 	January 30, 2007 	 	 
00X-05 	Sega 	Oshare Majo  	DS 	 	April 2, 2007 	 	 
00X-06 	MadCatz 	RetroCON 	PS2 	 	November 28, 2007 	 	 
00X-07 	NamcoBandai 	GunCon3 	PS3 	 	November 28, 2007 	 	 
00X-08 	SEGA 	TwinSticks 	DC 	 	December 1, 2007 	 	 
00X-09 	Sony 	Dual Shock 3 	PS3/PSP Go 	 	December 14, 2007 	 	 
00X-10 	Taito 	Arkanoid DS Paddle 	DS 	 	January 31, 2008 	 	 
00X-11 	ASCII 	Resident Evil Pad SLEH-00011 	PS1 	 	February 29, 2008 	 	 
00X-12 	Sony 	Proto-Shock SCPH-1150 	PS1 	 	February 29, 2008 	 	 
00X-13 	Nyko 	Perfect Shot 	Wii 	 	February 29, 2008 	 	 
00X-14 	Nintendo 	SNES Classic 	Wii 	 	May 16, 2008 	 	 
00X-15A 	RedOctane 	Fretster Grip 	DS 	 	June 23, 2008 	 	 
00X-15B 	RedOctane 	Fretster Grip 	DS 	 	July 13, 2011 	 	 
00X-16 	Nintendo 	DS Slide 	DS 	 	November 21, 2008 	 	 
00Y-01 	Namco 	neGcon 	PS1 	 	 	 	 
00Y-02 	Namco 	JogCon 	PS1 	 	 	 	 
00Y-03A 	Nubytech 	Megaman X mini 	GCN 	 	 	 	 
00Y-03B 	Nubytech 	Shadow the Hedgehog mini controller 	PS2 	 	 	 	 
00Y-04 	Sega 	Twin sticks 	Arcade 	 	 	 	 
00Y-05 	Nintendo 	Zapper 	Wii 	 	 	 	 
00Y-06 	Nintendo 	Microphone 	GCN 	 	 	 	 
00Y-06 	Nintendo 	eReader 	GBA 	 	 	 	 
00Y-07 	ASCII 	Grip 	PS1 	 	 	 	 
00Y-08 	Gamester Radica 	FPS Master 	PS2 	 	 	 	 
00Y-09A 	Cybiko 	Cybiko 	 	 	 	 	 
00Y-09B 	Cybiko 	Cybiko Extreme 	 	 	 	 	 
00Y-10 	Nintendo 	Transfer Pack 	N64 	 	 	 	 
00Y-11 	Sony 	PSeye 	PS3 	 	 	 	 
00Y-12 	Nintendo 	Wheel 	Wii 	 	 	 	 
00Y-13 	ASCII 	Rez Synthesasia Device 	PS2 	 	 	 	 
00Y-14 	Namco 	Volume controller 	PS1 	 	 	 	 
00Y-15 	Sony 	USB Headset 	PS2 	 	 	 	 
063 	Sony 	Wireless Keypad 	PS3 	 	January 14, 2009 	 	 
064 	Generic 	PS-890 	PS2 	 	January 17, 2009 	 	 
